model,accuracy,precision,recall,f1,roc_auc
resnet18,0.8875552221388681,0.8562231759656652,0.9314657328664332,0.8922610015174507,0.9573097104107609
swin_tiny_patch4_window7_224,0.7280986913395016,0.6591782097543941,0.9443054860763715,0.7763915547024952,0.8775358512589627
